,ID,Position,FullName,Team,TOI,OT,SO,T,W,L,Saves,PPSaves,SHSaves,EVSaves,SHShots,EVShots,PPShots,SvPct,GAA,G,GS,ShotsAgainst,GoalsAgainst,TOIperGame,PPSvPct,SHSvPct,EVSvPct
56,8476914,G,Joonas Korpisalo,Columbus Blue Jackets,2125:54,5,2,0,19,12,938,122,27,789,32,858,140,0.9109999999999999,2.5965,37,35,1030,92,57:27,87.14285714285714,84.375,91.95804195804196
57,8478007,G,Elvis Merzlikins,Columbus Blue Jackets,1815:08,8,5,0,13,9,848,75,14,759,14,820,85,0.9229999999999999,2.3469,33,31,919,71,55:00,88.23529411764706,100.0,92.56097560975608
58,8480162,G,Matiss Kivlenieks,Columbus Blue Jackets,284:50,2,0,0,1,1,123,6,2,115,2,126,9,0.898,2.9491,6,4,137,14,47:28,66.66666666666666,100.0,91.2698412698413
59,8478039,G,Kaapo Kahkonen,Minnesota Wild,304:12,1,0,0,3,1,157,12,4,141,4,151,17,0.9129999999999999,2.9586,5,5,172,15,60:50,70.58823529411767,100.0,93.3774834437086
60,8471774,G,Alex Stalock,Minnesota Wild,2177:21,4,4,0,20,11,985,134,31,820,34,893,155,0.91,2.673,38,36,1082,97,57:17,86.45161290322581,91.17647058823529,91.82530795072788
61,8475660,G,Cam Talbot,Minnesota Wild,1434:39,1,2,0,12,10,717,79,7,631,8,683,89,0.919,2.6348,26,22,780,63,55:10,88.76404494382021,87.5,92.38653001464131
62,8476316,G,Laurent Brossoit,Winnipeg Jets,987:53,1,0,0,6,7,458,52,17,389,18,430,64,0.895,3.2797,19,15,512,54,51:59,81.25,94.44444444444444,90.46511627906979
63,8476945,G,Connor Hellebuyck,Winnipeg Jets,3268:33,5,6,0,31,21,1656,189,49,1418,50,1530,216,0.922,2.5699,58,56,1796,140,56:21,87.5,98.0,92.6797385620915
64,8477480,G,Eric Comrie,Winnipeg Jets,126:15,0,0,0,0,2,57,6,5,46,6,53,7,0.8640000000000001,4.2772,3,2,66,9,42:05,85.71428571428571,83.33333333333334,86.7924528301887
65,8475311,G,Darcy Kuemper,Arizona Coyotes,1753:24,2,2,0,16,11,838,111,17,710,18,760,125,0.9279999999999999,2.2243,29,29,903,65,60:27,88.8,94.44444444444444,93.42105263157896
66,8477293,G,Antti Raanta,Arizona Coyotes,1822:54,3,2,0,15,14,934,121,39,774,42,840,132,0.9209999999999999,2.6332,33,32,1014,80,55:14,91.66666666666666,92.85714285714286,92.14285714285714
67,8478499,G,Adin Hill,Arizona Coyotes,640:46,3,0,0,2,4,315,36,14,265,14,284,45,0.9179999999999999,2.6219,13,9,343,28,49:17,80.0,100.0,93.30985915492955
68,8470594,G,Marc-Andre Fleury,Vegas Golden Knights,2880:06,5,5,0,27,16,1266,186,23,1057,24,1155,220,0.905,2.7707,49,48,1399,133,58:46,84.54545454545455,95.83333333333334,91.51515151515152
69,8475215,G,Robin Lehner,Vegas Golden Knights,2055:28,5,1,0,19,10,1136,167,35,934,40,1013,182,0.92,2.8899,36,34,1235,99,57:05,91.75824175824177,87.5,92.20138203356369
